size,seed,algorithm,src,dst,step_budget,fuel_budget,reachable,steps,fuel,moves,time_ms
8,42,dfs,27,56,56,69,True,13,8,6,0.047667010221630335
8,42,bfs,27,56,56,69,True,11,7,5,0.24633301654830575
8,42,dijkstra,27,56,56,69,True,11,7,5,0.2459170063957572
8,42,gbfs,27,56,56,69,True,15,8,5,0.03420800203457475
8,42,astar,27,56,56,69,True,11,7,5,0.14174997340887785
8,43,dfs,0,46,18,24,True,18,11,8,0.2227919758297503
8,43,bfs,0,46,18,24,True,15,11,8,0.19075005548074841
8,43,dijkstra,0,46,18,24,True,15,11,8,0.1561670214869082
8,43,gbfs,0,46,18,24,True,17,12,8,0.04287500632926822
8,43,astar,0,46,18,24,True,15,11,8,0.12608303222805262
8,44,dfs,46,29,42,64,True,19,17,12,0.058375007938593626
8,44,bfs,46,29,42,64,True,4,2,2,0.02679100725799799
8,44,dijkstra,46,29,42,64,True,4,2,2,0.03450002986937761
8,44,gbfs,46,29,42,64,True,4,2,2,0.014833000022917986
8,44,astar,46,29,42,64,True,4,2,2,0.029125018045306206
8,45,dfs,12,25,33,35,True,12,7,5,1.1772500001825392
8,45,bfs,12,25,33,35,True,8,7,4,0.16129197319969535
8,45,dijkstra,12,25,33,35,True,8,7,4,0.1562500256113708
8,45,gbfs,12,25,33,35,True,8,7,4,0.02762500662356615
8,45,astar,12,25,33,35,True,8,7,4,0.09316700743511319
8,46,dfs,36,7,20,57,True,20,10,8,0.4018330364488065
8,46,bfs,36,7,20,57,True,10,5,5,0.20533299539238214
8,46,dijkstra,36,7,20,57,True,10,5,5,0.2186669735237956
8,46,gbfs,36,7,20,57,True,10,5,5,0.030583003535866737
8,46,astar,36,7,20,57,True,10,5,5,0.09812501957640052
8,47,dfs,38,50,38,70,True,24,14,11,0.06629101699218154
8,47,bfs,38,50,38,70,True,10,6,5,0.11662498582154512
8,47,dijkstra,38,50,38,70,True,10,6,5,0.11912500485777855
8,47,gbfs,38,50,38,70,True,13,7,6,0.02820900408551097
8,47,astar,38,50,38,70,True,10,6,5,0.08404202526435256
8,48,dfs,9,34,51,75,True,40,24,19,0.07700000423938036
8,48,bfs,9,34,51,75,True,8,4,3,0.07337500574067235
8,48,dijkstra,9,34,51,75,True,6,6,4,0.09208300616592169
8,48,gbfs,9,34,51,75,True,8,4,3,0.022292020730674267
8,48,astar,9,34,51,75,True,6,6,4,0.05966605385765433
8,49,dfs,60,18,20,52,True,16,13,8,0.03979098983108997
8,49,bfs,60,18,20,52,True,11,10,6,0.15637499745935202
8,49,dijkstra,60,18,20,52,True,11,10,6,0.14720804756507277
8,49,gbfs,60,18,20,52,True,11,10,6,0.03587495302781463
8,49,astar,60,18,20,52,True,11,10,6,0.079624995123595
8,50,dfs,43,58,47,107,True,11,7,5,0.02358300844207406
8,50,bfs,43,58,47,107,True,6,3,3,0.08999998681247234
8,50,dijkstra,43,58,47,107,True,6,3,3,0.08983397856354713
8,50,gbfs,43,58,47,107,True,6,3,3,0.01837499439716339
8,50,astar,43,58,47,107,True,6,3,3,0.036416982766240835
8,51,dfs,53,6,31,83,True,27,16,13,0.49229199066758156
8,51,bfs,53,6,31,83,True,14,8,6,0.16499997582286596
8,51,dijkstra,53,6,31,83,True,14,8,6,0.16799999866634607
8,51,gbfs,53,6,31,83,True,14,8,6,0.037999998312443495
8,51,astar,53,6,31,83,True,14,8,6,0.1299590221606195
8,52,dfs,48,26,33,53,True,33,19,14,0.18112501129508018
8,52,bfs,48,26,33,53,True,6,3,3,0.03549997927621007
8,52,dijkstra,48,26,33,53,True,6,3,3,0.03762502456083894
8,52,gbfs,48,26,33,53,True,6,3,3,0.018082966562360525
8,52,astar,48,26,33,53,True,6,3,3,0.03358302637934685
8,53,dfs,56,44,55,101,True,45,26,19,0.10458397446200252
8,53,bfs,56,44,55,101,True,9,6,5,0.06308400770649314
8,53,dijkstra,56,44,55,101,True,9,6,5,0.059583981055766344
8,53,gbfs,56,44,55,101,True,9,6,5,0.02345896791666746
8,53,astar,56,44,55,101,True,9,6,5,0.03933301195502281
8,54,dfs,24,4,24,52,True,24,15,12,0.18570799147710204
8,54,bfs,24,4,24,52,True,12,6,6,0.11162500595673919
8,54,dijkstra,24,4,24,52,True,12,6,6,0.11812499724328518
8,54,gbfs,24,4,24,52,True,12,7,6,0.029082992114126682
8,54,astar,24,4,24,52,True,12,6,6,0.08099997648969293
8,55,dfs,0,59,21,26,True,19,13,9,0.034750031773000956
8,55,bfs,0,59,21,26,True,16,9,7,0.2198339789174497
8,55,dijkstra,0,59,21,26,True,15,10,8,0.2507089520804584
8,55,gbfs,0,59,21,26,True,18,9,7,0.04020897904410958
